tweet_id	retweet_count	favorite_count 
666020888022790149	423	2293
666029285002620928	39	112
666033412701032449	36	100
666044226329800704	115	247
666049248165822465	37	89
666050758794694657	50	115
666051853826850816	706	1030
666055525042405380	196	367
666057090499244032	112	249
666058600524156928	47	99
666063827256086533	181	400
666071193221509120	51	127
666073100786774016	132	274
666082916733198337	37	93
666094000022159362	63	143
666099513787052032	53	134
666102155909144576	11	66
666104133288665088	5494	12917
666268910803644416	38	100
666273097616637952	68	152
666287406224695296	57	123
666293911632134144	291	427
666337882303524864	79	168
666345417576210432	125	246
666353288456101888	58	179
666362758909284353	471	651
666373753744588802	73	163
666396247373291520	69	147
666407126856765440	30	93
666411507551481857	262	372
666418789513326592	39	108
666421158376562688	92	273
666428276349472768	67	139
666430724426358785	160	278
666435652385423360	42	139
666437273139982337	40	106
666447344410484738	19	90
666454714377183233	182	448
666644823164719104	70	208
666649482315059201	526	994
666691418707132416	42	161
666701168228331520	182	371
666739327293083650	60	209
666776908487630848	150	305
666781792255496192	169	327
666786068205871104	411	658
666804364988780544	79	206
666817836334096384	212	444
666826780179869698	79	221
666835007768551424	66	185
666837028449972224	474	702
666983947667116034	847	2249
666996132027977728	79	214
667012601033924608	187	395
667044094246576128	43	163
667062181243039745	45	192
667065535570550784	40	143
667073648344346624	104	352
667090893657276420	106	287
667119796878725120	107	286
667138269671505920	1877	4021
667152164079423490	14643	42342
667160273090932737	50	219
667165590075940865	973	2383
667171260800061440	72	186
667174963120574464	70	218
667176164155375616	389	527
667177989038297088	48	166
667182792070062081	5288	12560
667188689915760640	334	643
667192066997374976	86	333
667200525029539841	228	546
667211855547486208	210	425
667369227918143488	145	328
667393430834667520	50	168
667405339315146752	197	412
667435689202614272	77	267
667437278097252352	200	396
667443425659232256	490	683
667453023279554560	74	279
667455448082227200	53	171
667470559035432960	85	225
667491009379606528	190	459
667495797102141441	232	458
667502640335572993	195	485
667509364010450944	1867	6073
667517642048163840	166	332
667524857454854144	970	1508
667530908589760512	207	412
667534815156183040	446	719
667538891197542400	58	176
667544320556335104	459	763
667546741521195010	108	302
667549055577362432	1964	5116
667550882905632768	26	0
667550904950915073	29	0
667724302356258817	269	423
667728196545200128	128	324
667766675769573376	184	373
667773195014021121	44	204
667782464991965184	210	363
667793409583771648	285	610
667801013445750784	82	284
667806454573760512	421	931
667832474953625600	55	256
667861340749471744	69	221
667866724293877760	902	2720
667873844930215936	339	553
667878741721415682	101	349
667885044254572545	401	731
667886921285246976	909	1651
667902449697558528	334	762
667911425562669056	245	430
667915453470232577	45	184
667924896115245057	95	265
667937095915278337	695	1115
668113020489474048	208	587
668142349051129856	239	511
668154635664932864	272	440
668171859951755264	161	425
668190681446379520	170	577
668204964695683073	172	489
668221241640230912	169	452
668226093875376128	84	247
668237644992782336	2433	5457
668248472370458624	408	844
668256321989451776	518	1154
668268907921326080	206	486
668274247790391296	198	723
668286279830867968	119	436
668291999406125056	28	213
668297328638447616	255	557
668466899341221888	443	772
668480044826800133	128	397
668484198282485761	208	372
668496999348633600	115	360
668507509523615744	87	280
668528771708952576	189	404
668537837512433665	60	225
668542336805281792	182	403
668544745690562560	197	452
668567822092664832	46	206
668614819948453888	271	544
668620235289837568	35	181
668623201287675904	655	1249
668625577880875008	112	330
668627278264475648	97	281
668631377374486528	281	621
668633411083464705	1385	2472
668636665813057536	435	921
668641109086707712	467	945
668643542311546881	447	789
668645506898350081	459	776
668655139528511488	190	474
668779399630725120	325	632
668815180734689280	227	494
668826086256599040	112	383
668852170888998912	139	410
668872652652679168	268	477
668892474547511297	126	354
668902994700836864	87	275
668932921458302977	50	227
668955713004314625	63	241
668960084974809088	210	620
668975677807423489	498	1158
668979806671884288	293	706
668981893510119424	259	485
668986018524233728	140	479
668988183816871936	391	801
668989615043424256	288	596
668992363537309700	294	660
668994913074286592	191	391
669000397445533696	5536	18718
669006782128353280	209	512
669015743032369152	325	651
669037058363662336	266	575
669203728096960512	409	892
669214165781868544	135	386
669216679721873412	348	1060
669324657376567296	182	440
669327207240699904	102	498
669328503091937280	367	908
669351434509529089	157	382
669353438988365824	231	565
669354382627049472	1095	2397
669359674819481600	103	332
669363888236994561	202	558
669367896104181761	131	407
669371483794317312	148	437
669375718304980992	635	1181
669393256313184256	62	312
669564461267722241	105	337
669567591774625800	45	202
669571471778410496	886	1410
669573570759163904	120	388
669583744538451968	806	1324
669597912108789760	134	448
669603084620980224	317	848
669625907762618368	1576	3134
669661792646373376	369	715
669680153564442624	245	588
669682095984410625	116	312
669683899023405056	94	338
669749430875258880	55	229
669753178989142016	342	711
669923323644657664	50	202
669926384437997569	82	340
669942763794931712	134	445
669970042633789440	43	272
669972011175813120	134	396
669993076832759809	70	288
670003130994700288	77	296
670037189829525505	240	527
670040295598354432	97	662
670046952931721218	153	576
670055038660800512	280	592
670061506722140161	291	670
670069087419133954	205	555
670073503555706880	681	1388
670079681849372674	1059	1957
670086499208155136	219	623
670093938074779648	280	913
670290420111441920	250	622
670303360680108032	107	384
670319130621435904	1068	3473
670338931251150849	96	374
670361874861563904	56	290
670374371102445568	238	669
670385711116361728	174	495
670403879788544000	130	378
670408998013820928	189	488
670411370698022913	773	1796
670417414769758208	282	501
670420569653809152	265	542
670421925039075328	554	1148
670427002554466305	142	465
670428280563085312	524	1235
670433248821026816	100	296
670434127938719744	563	1259
670435821946826752	438	941
